2016-01-25 11:17:06.753 1453720626753 Acceleration x: -0.04229736328125 g, y: -0.07989501953125 g, z: 0.8968505859375 g Gyro x: 15.469512939453125 g, y: 68.10623168945312 g, z: -19.492034912109375 g Magnet x: 0.0242919921875 G, y: 0.3641357421875 G, z: -0.281982421875 G T: 27.327439024390245 H: 32.249386297701406 P: 756.5
2016-01-25 11:17:06.781 1453720626781 Acceleration x: -0.029296875 g, y: -0.09027099609375 g, z: 0.95989990234375 g Gyro x: 4.35150146484375 g, y: 9.97406005859375 g, z: -2.011260986328125 g Magnet x: 0.0242919921875 G, y: 0.3641357421875 G, z: -0.281982421875 G T: 26.107317073170734 H: 32.249386297701406 P: 764.63134765625
2016-01-25 11:17:06.800 1453720626800 Acceleration x: -0.0284423828125 g, y: -0.09124755859375 g, z: 0.95538330078125 g Gyro x: 3.237457275390625 g, y: 6.796417236328125 g, z: -1.517791748046875 g Magnet x: 0.0242919921875 G, y: 0.3641357421875 G, z: -0.281982421875 G T: 26.107317073170734 H: 32.59930819013613 P: 1020.63134765625
2016-01-25 11:17:06.821 1453720626821 Acceleration x: -0.02838134765625 g, y: -0.0909423828125 g, z: 0.96771240234375 g Gyro x: 3.1103515625 g, y: 6.572113037109375 g, z: -1.4056396484375 g Magnet x: 0.0242919921875 G, y: 0.3641357421875 G, z: -0.281982421875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.842 1453720626842 Acceleration x: -0.028564453125 g, y: -0.0908203125 g, z: 0.95147705078125 g Gyro x: 3.21502685546875 g, y: 6.766510009765625 g, z: -1.413116455078125 g Magnet x: 0.0252685546875 G, y: 0.3670654296875 G, z: -0.284423828125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.858 1453720626858 Acceleration x: -0.028564453125 g, y: -0.0909423828125 g, z: 0.95245361328125 g Gyro x: 3.147735595703125 g, y: 6.56463623046875 g, z: -1.4056396484375 g Magnet x: 0.0252685546875 G, y: 0.3670654296875 G, z: -0.284423828125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.872 1453720626872 Acceleration x: -0.02886962890625 g, y: -0.09063720703125 g, z: 0.95172119140625 g Gyro x: 3.222503662109375 g, y: 6.62445068359375 g, z: -1.495361328125 g Magnet x: 0.0252685546875 G, y: 0.3670654296875 G, z: -0.284423828125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.886 1453720626887 Acceleration x: -0.0277099609375 g, y: -0.0904541015625 g, z: 0.9515380859375 g Gyro x: 3.147735595703125 g, y: 6.83380126953125 g, z: -1.502838134765625 g Magnet x: 0.0252685546875 G, y: 0.3670654296875 G, z: -0.284423828125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.910 1453720626910 Acceleration x: -0.0281982421875 g, y: -0.09100341796875 g, z: 0.953125 g Gyro x: 3.222503662109375 g, y: 6.676788330078125 g, z: -1.4654541015625 g Magnet x: 0.0252685546875 G, y: 0.3670654296875 G, z: -0.284423828125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.927 1453720626927 Acceleration x: -0.0284423828125 g, y: -0.091796875 g, z: 0.95074462890625 g Gyro x: 3.2000732421875 g, y: 6.69921875 g, z: -1.502838134765625 g Magnet x: 0.0245361328125 G, y: 0.3646240234375 G, z: -0.3011474609375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.943 1453720626943 Acceleration x: -0.02825927734375 g, y: -0.09075927734375 g, z: 0.95166015625 g Gyro x: 3.18511962890625 g, y: 6.59454345703125 g, z: -1.413116455078125 g Magnet x: 0.0245361328125 G, y: 0.3646240234375 G, z: -0.3011474609375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.962 1453720626962 Acceleration x: -0.02752685546875 g, y: -0.09161376953125 g, z: 0.95147705078125 g Gyro x: 3.147735595703125 g, y: 6.77398681640625 g, z: -1.398162841796875 g Magnet x: 0.0245361328125 G, y: 0.3646240234375 G, z: -0.3011474609375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:06.986 1453720626986 Acceleration x: -0.02783203125 g, y: -0.09112548828125 g, z: 0.9530029296875 g Gyro x: 3.1103515625 g, y: 6.572113037109375 g, z: -1.443023681640625 g Magnet x: 0.0245361328125 G, y: 0.3646240234375 G, z: -0.3011474609375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.010 1453720627010 Acceleration x: -0.02825927734375 g, y: -0.09075927734375 g, z: 0.9512939453125 g Gyro x: 3.312225341796875 g, y: 6.631927490234375 g, z: -1.368255615234375 g Magnet x: 0.0245361328125 G, y: 0.3646240234375 G, z: -0.3011474609375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.050 1453720627050 Acceleration x: -0.02880859375 g, y: -0.09063720703125 g, z: 0.95355224609375 g Gyro x: 3.192596435546875 g, y: 6.759033203125 g, z: -1.42059326171875 g Magnet x: 0.02294921875 G, y: 0.367919921875 G, z: -0.287109375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.093 1453720627093 Acceleration x: -0.0272216796875 g, y: -0.0906982421875 g, z: 0.9554443359375 g Gyro x: 3.349609375 g, y: 6.7291259765625 g, z: -1.383209228515625 g Magnet x: 0.02294921875 G, y: 0.367919921875 G, z: -0.287109375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.113 1453720627113 Acceleration x: -0.0289306640625 g, y: -0.0904541015625 g, z: 0.95367431640625 g Gyro x: 3.03558349609375 g, y: 6.6693115234375 g, z: -1.413116455078125 g Magnet x: 0.02294921875 G, y: 0.367919921875 G, z: -0.287109375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.131 1453720627131 Acceleration x: -0.02703857421875 g, y: -0.0909423828125 g, z: 0.95574951171875 g Gyro x: 3.252410888671875 g, y: 6.766510009765625 g, z: -1.55517578125 g Magnet x: 0.0245361328125 G, y: 0.3612060546875 G, z: -0.283935546875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.150 1453720627150 Acceleration x: -0.02740478515625 g, y: -0.0902099609375 g, z: 0.95556640625 g Gyro x: 3.342132568359375 g, y: 6.945953369140625 g, z: -1.457977294921875 g Magnet x: 0.0245361328125 G, y: 0.3612060546875 G, z: -0.283935546875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.188 1453720627188 Acceleration x: -0.02801513671875 g, y: -0.0914306640625 g, z: 0.9554443359375 g Gyro x: 3.192596435546875 g, y: 6.7889404296875 g, z: -1.45050048828125 g Magnet x: 0.0245361328125 G, y: 0.3612060546875 G, z: -0.283935546875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.207 1453720627207 Acceleration x: -0.02825927734375 g, y: -0.09051513671875 g, z: 0.95526123046875 g Gyro x: 3.15521240234375 g, y: 6.796417236328125 g, z: -1.368255615234375 g Magnet x: 0.0245361328125 G, y: 0.3612060546875 G, z: -0.283935546875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.223 1453720627223 Acceleration x: -0.02838134765625 g, y: -0.091552734375 g, z: 0.95623779296875 g Gyro x: 3.24493408203125 g, y: 6.736602783203125 g, z: -1.4654541015625 g Magnet x: 0.0245361328125 G, y: 0.3612060546875 G, z: -0.283935546875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.242 1453720627243 Acceleration x: -0.02734375 g, y: -0.09136962890625 g, z: 0.956298828125 g Gyro x: 3.3795166015625 g, y: 6.736602783203125 g, z: -1.443023681640625 g Magnet x: 0.0247802734375 G, y: 0.3634033203125 G, z: -0.27880859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.264 1453720627264 Acceleration x: -0.02740478515625 g, y: -0.0906982421875 g, z: 0.9580078125 g Gyro x: 3.102874755859375 g, y: 6.98333740234375 g, z: -1.4056396484375 g Magnet x: 0.0247802734375 G, y: 0.3634033203125 G, z: -0.27880859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.288 1453720627288 Acceleration x: -0.0279541015625 g, y: -0.09063720703125 g, z: 0.9583740234375 g Gyro x: 3.39447021484375 g, y: 6.587066650390625 g, z: -1.45050048828125 g Magnet x: 0.0247802734375 G, y: 0.3634033203125 G, z: -0.27880859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.306 1453720627306 Acceleration x: -0.02655029296875 g, y: -0.09100341796875 g, z: 0.9571533203125 g Gyro x: 3.2598876953125 g, y: 6.751556396484375 g, z: -1.443023681640625 g Magnet x: 0.0247802734375 G, y: 0.3634033203125 G, z: -0.27880859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.324 1453720627324 Acceleration x: -0.0277099609375 g, y: -0.09088134765625 g, z: 0.957763671875 g Gyro x: 3.45428466796875 g, y: 6.856231689453125 g, z: -1.45050048828125 g Magnet x: 0.0247802734375 G, y: 0.3634033203125 G, z: -0.27880859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.354 1453720627354 Acceleration x: -0.02685546875 g, y: -0.0908203125 g, z: 0.9578857421875 g Gyro x: 3.22998046875 g, y: 6.856231689453125 g, z: -1.457977294921875 g Magnet x: 0.0301513671875 G, y: 0.3662109375 G, z: -0.2879638671875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.375 1453720627376 Acceleration x: -0.02911376953125 g, y: -0.09063720703125 g, z: 0.9588623046875 g Gyro x: 3.22998046875 g, y: 6.95343017578125 g, z: -1.293487548828125 g Magnet x: 0.0301513671875 G, y: 0.3662109375 G, z: -0.2879638671875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.391 1453720627391 Acceleration x: -0.02764892578125 g, y: -0.09075927734375 g, z: 0.95867919921875 g Gyro x: 3.386993408203125 g, y: 6.83380126953125 g, z: -1.413116455078125 g Magnet x: 0.0301513671875 G, y: 0.3662109375 G, z: -0.2879638671875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.408 1453720627408 Acceleration x: -0.02783203125 g, y: -0.0908203125 g, z: 0.95880126953125 g Gyro x: 3.289794921875 g, y: 6.86370849609375 g, z: -1.39068603515625 g Magnet x: 0.0301513671875 G, y: 0.3662109375 G, z: -0.2879638671875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.422 1453720627422 Acceleration x: -0.029296875 g, y: -0.09100341796875 g, z: 0.95941162109375 g Gyro x: 3.312225341796875 g, y: 6.811370849609375 g, z: -1.487884521484375 g Magnet x: 0.0301513671875 G, y: 0.3662109375 G, z: -0.2879638671875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.439 1453720627440 Acceleration x: -0.02667236328125 g, y: -0.09130859375 g, z: 0.958251953125 g Gyro x: 3.117828369140625 g, y: 6.74407958984375 g, z: -1.42059326171875 g Magnet x: 0.026611328125 G, y: 0.3623046875 G, z: -0.2764892578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.456 1453720627456 Acceleration x: -0.02734375 g, y: -0.09161376953125 g, z: 0.958740234375 g Gyro x: 3.252410888671875 g, y: 6.7291259765625 g, z: -1.51031494140625 g Magnet x: 0.026611328125 G, y: 0.3623046875 G, z: -0.2764892578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.480 1453720627480 Acceleration x: -0.02801513671875 g, y: -0.09063720703125 g, z: 0.960205078125 g Gyro x: 3.2000732421875 g, y: 6.62445068359375 g, z: -1.42059326171875 g Magnet x: 0.026611328125 G, y: 0.3623046875 G, z: -0.2764892578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.497 1453720627497 Acceleration x: -0.02874755859375 g, y: -0.0906982421875 g, z: 0.95989990234375 g Gyro x: 3.177642822265625 g, y: 6.796417236328125 g, z: -1.435546875 g Magnet x: 0.026611328125 G, y: 0.3623046875 G, z: -0.2764892578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.518 1453720627518 Acceleration x: -0.0281982421875 g, y: -0.090576171875 g, z: 0.95965576171875 g Gyro x: 3.357086181640625 g, y: 6.856231689453125 g, z: -1.368255615234375 g Magnet x: 0.026611328125 G, y: 0.3623046875 G, z: -0.2764892578125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.535 1453720627535 Acceleration x: -0.02789306640625 g, y: -0.09039306640625 g, z: 0.95953369140625 g Gyro x: 3.357086181640625 g, y: 6.781463623046875 g, z: -1.42059326171875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.555 1453720627556 Acceleration x: -0.02764892578125 g, y: -0.09075927734375 g, z: 0.9600830078125 g Gyro x: 3.24493408203125 g, y: 6.871185302734375 g, z: -1.413116455078125 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.574 1453720627574 Acceleration x: -0.02801513671875 g, y: -0.091552734375 g, z: 0.958984375 g Gyro x: 3.267364501953125 g, y: 6.69921875 g, z: -1.375732421875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.588 1453720627588 Acceleration x: -0.02850341796875 g, y: -0.0899658203125 g, z: 0.960693359375 g Gyro x: 3.342132568359375 g, y: 6.781463623046875 g, z: -1.398162841796875 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.605 1453720627606 Acceleration x: -0.02679443359375 g, y: -0.091552734375 g, z: 0.96051025390625 g Gyro x: 3.252410888671875 g, y: 6.945953369140625 g, z: -1.502838134765625 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.624 1453720627624 Acceleration x: -0.0286865234375 g, y: -0.090576171875 g, z: 0.96136474609375 g Gyro x: 3.45428466796875 g, y: 6.8487548828125 g, z: -1.487884521484375 g Magnet x: 0.0252685546875 G, y: 0.3599853515625 G, z: -0.2874755859375 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.642 1453720627642 Acceleration x: -0.0269775390625 g, y: -0.09027099609375 g, z: 0.96038818359375 g Gyro x: 3.18511962890625 g, y: 6.960906982421875 g, z: -1.31591796875 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.656 1453720627657 Acceleration x: -0.02801513671875 g, y: -0.09161376953125 g, z: 0.96282958984375 g Gyro x: 3.177642822265625 g, y: 6.639404296875 g, z: -1.562652587890625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.676 1453720627676 Acceleration x: -0.0281982421875 g, y: -0.09100341796875 g, z: 0.9617919921875 g Gyro x: 3.21502685546875 g, y: 6.676788330078125 g, z: -1.368255615234375 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.694 1453720627694 Acceleration x: -0.0281982421875 g, y: -0.09088134765625 g, z: 0.9625244140625 g Gyro x: 3.21502685546875 g, y: 6.83380126953125 g, z: -1.383209228515625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.710 1453720627711 Acceleration x: -0.02777099609375 g, y: -0.09149169921875 g, z: 0.96337890625 g Gyro x: 3.289794921875 g, y: 6.92352294921875 g, z: -1.39068603515625 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.724 1453720627724 Acceleration x: -0.02850341796875 g, y: -0.09088134765625 g, z: 0.96209716796875 g Gyro x: 3.222503662109375 g, y: 6.878662109375 g, z: -1.48040771484375 g Magnet x: 0.0272216796875 G, y: 0.3623046875 G, z: -0.2869873046875 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
2016-01-25 11:17:07.739 1453720627739 Acceleration x: -0.02813720703125 g, y: -0.09088134765625 g, z: 0.96221923828125 g Gyro x: 3.27484130859375 g, y: 6.9683837890625 g, z: -1.3458251953125 g Magnet x: 0.027099609375 G, y: 0.359375 G, z: -0.2901611328125 G T: 26.107317073170734 H: 34.19895112698058 P: 1020.63134765625
